population,population_definition,removed_source,remaining_denominator_n,code_a,label_a,code_b,label_b,n11_both_present,n10_a_only,n01_b_only,n00_neither,jaccard,lift,full_population_n11,n11_difference,full_population_jaccard,jaccard_difference,full_population_lift,lift_difference
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,cashout_laundering_service,Cash-out or laundering service,60,107,50,713,0.276498,3.037561,68,-8,0.290598,-0.0141,3.11044,-0.072879
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,71,96,46,717,0.333333,3.379395,78,-7,0.337662,-0.004329,3.371204,0.008191
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,email_access_takeover,Email-access-enabled account takeover,53,114,8,755,0.302857,4.83852,55,-2,0.287958,0.014899,4.717119,0.121401
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",48,119,64,699,0.207792,2.386655,59,-11,0.229572,-0.02178,2.416803,-0.030148
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,fullz_identity_package,Fullz or identity package,60,107,57,706,0.267857,2.855827,63,-3,0.255061,0.012796,2.701623,0.154204
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,jurisdiction_localisation,Jurisdiction-specific bank or account reference,67,100,36,727,0.330049,3.622464,76,-9,0.336283,-0.006234,3.476374,0.14609
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,mule_recruitment,Mule recruitment or account-holder solicitation,5,162,3,760,0.029412,3.480539,7,-2,0.037838,-0.008426,3.842308,-0.361769
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,telegram_off_platform,Telegram or private-channel coordination reference,23,144,51,712,0.105505,1.730863,27,-4,0.11157,-0.006065,1.703486,0.027377
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,tutorial_training_recruitment,"Tutorial, guide, or training content",57,110,33,730,0.285,3.526946,65,-8,0.290179,-0.005179,3.334446,0.1925
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,bank_log_sale,Compromised bank log sale or discussion,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,167,1,762,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,55,55,62,758,0.319767,3.974359,60,-5,0.320856,-0.001089,3.933071,0.041288
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,email_access_takeover,Email-access-enabled account takeover,15,95,46,774,0.096154,2.078987,17,-2,0.101796,-0.005642,2.211328,-0.132341
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",29,81,83,737,0.150259,2.189123,37,-8,0.170507,-0.020248,2.298694,-0.109571
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,fullz_identity_package,Fullz or identity package,32,78,85,735,0.164103,2.312354,36,-4,0.169811,-0.005708,2.341406,-0.029052
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,jurisdiction_localisation,Jurisdiction-specific bank or account reference,30,80,73,747,0.163934,2.462489,35,-5,0.170732,-0.006798,2.428125,0.034364
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,mule_recruitment,Mule recruitment or account-holder solicitation,5,105,3,817,0.044248,5.284091,7,-2,0.056911,-0.012663,5.8275,-0.543409
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,telegram_off_platform,Telegram or private-channel coordination reference,35,75,39,781,0.234899,3.998771,41,-6,0.246988,-0.012089,3.923276,0.075495
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,tutorial_training_recruitment,"Tutorial, guide, or training content",44,66,46,774,0.282051,4.133333,48,-4,0.268156,0.013895,3.734579,0.398754
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,cashout_laundering_service,Cash-out or laundering service,vulnerable_group_exploitation,Vulnerable group or migrant/student exploitation,0,110,1,819,0.0,0.0,0,0,0.0,0.0,0.0,0.0
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,email_access_takeover,Email-access-enabled account takeover,16,101,45,768,0.098765,2.08491,18,-2,0.104046,-0.005281,2.212352,-0.127442
full_screened,All combined records evaluated by the deterministic screen,1. Dread,930,crypto_payment_or_conversion,Cryptocurrency payment or conversion reference,escrow_trust_reputation,"Escrow, trust, reputation, or scam-risk discourse",48,69,64,749,0.265193,3.406593,57,-9,0.279412,-0.014219,3.346045,0.060548
